n00001740	entity
n02108422	bull mastiff
n02109047	Great Dane
n02109525	Saint Bernard, St Bernard
n02109961	Eskimo dog, husky
n02108672	bulldog, English bulldog
n02108915	French bulldog
n02108254	mastiff
n02108551	Tibetan mastiff
n02110063	malamute, malemute, Alaskan malamute
n02110185	Siberian husky
n02105251	briard
n02105412	kelpie
n02105505	komondor
n02105641	Old English sheepdog, bobtail
n02105855	Shetland sheepdog, Shetland sheep dog, Shetland
n02106030	collie
n02106166	Border collie
n02106382	Bouvier des Flandres, Bouviers des Flandres
n02106550	Rottweiler
n02106662	German shepherd, German shepherd dog, German police dog, alsatian
n02104882	Belgian sheepdog, Belgian shepherd
n02105056	groenendael
n02105162	malinois
n02085620	Chihuahua
n02085782	Japanese spaniel
n02085936	Maltese dog, Maltese terrier, Maltese
n02086079	Pekinese, Pekingese, Peke
n02086240	Shih-Tzu
n02087046	toy terrier
n02086346	toy spaniel
n02086910	papillon
n02086646	Blenheim spaniel
n02107574	Greater Swiss Mountain dog
n02107683	Bernese mountain dog
n02107908	Appenzeller
n02108000	EntleBucher
n02087394	Rhodesian ridgeback
n02093647	Bedlington terrier
n02093754	Border terrier
n02093859	Kerry blue terrier
n02093991	Irish terrier
n02094114	Norfolk terrier
n02094258	Norwich terrier
n02094433	Yorkshire terrier
n02096051	Airedale, Airedale terrier
n02096177	cairn, cairn terrier
n02096294	Australian terrier
n02096437	Dandie Dinmont, Dandie Dinmont terrier
n02096585	Boston bull, Boston terrier
n02097298	Scotch terrier, Scottish terrier, Scottie
n02097474	Tibetan terrier, chrysanthemum dog
n02097658	silky terrier, Sydney silky
n02098105	soft-coated wheaten terrier
n02098286	West Highland white terrier
n02098413	Lhasa, Lhasa apso
n02095412	wirehair, wirehaired terrier, wire-haired terrier
n02095570	Lakeland terrier
n02095727	Welsh terrier
n02095889	Sealyham terrier, Sealyham
n02095050	fox terrier
n02095314	wire-haired fox terrier
n02093056	bullterrier, bull terrier
n02093256	Staffordshire bullterrier, Staffordshire bull terrier
n02093428	American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier
n02096756	schnauzer
n02097047	miniature schnauzer
n02097130	giant schnauzer
n02097209	standard schnauzer
n02099267	flat-coated retriever
n02099429	curly-coated retriever
n02099601	golden retriever
n02099712	Labrador retriever
n02099849	Chesapeake Bay retriever
n02100236	German short-haired pointer
n02100583	vizsla, Hungarian pointer
n02101388	Brittany spaniel
n02101556	clumber, clumber spaniel
n02102318	cocker spaniel, English cocker spaniel, cocker
n02102480	Sussex spaniel
n02101861	springer spaniel, springer
n02102040	English springer, English springer spaniel
n02102177	Welsh springer spaniel
n02102605	water spaniel
n02102973	Irish water spaniel
n02100735	English setter
n02100877	Irish setter, red setter
n02101006	Gordon setter
n02104029	kuvasz
n02104365	schipperke
n02107142	Doberman, Doberman pinscher
n02107312	miniature pinscher
n02110627	affenpinscher, monkey pinscher, monkey dog
n02088094	Afghan hound, Afghan
n02088238	basset, basset hound
n02088364	beagle
n02088466	bloodhound, sleuthhound
n02088632	bluetick
n02090379	redbone
n02091244	Ibizan hound, Ibizan Podenco
n02091467	Norwegian elkhound, elkhound
n02091635	otterhound, otter hound
n02091831	Saluki, gazelle hound
n02092002	Scottish deerhound, deerhound
n02092339	Weimaraner
n02091032	Italian greyhound
n02091134	whippet
n02090622	borzoi, Russian wolfhound
n02090721	Irish wolfhound
n02089867	Walker hound, Walker foxhound
n02089973	English foxhound
n02089078	black-and-tan coonhound
n02115335	wild dog
n02115641	dingo, warrigal, warragal, Canis dingo
n02115913	dhole, Cuon alpinus
n02116738	African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus
n01874434	marsupial, pouched mammal
n01883070	wombat
n01881171	phalanger, opossum, possum
n01882714	koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus
n01877134	kangaroo
n01877812	wallaby, brush kangaroo
n01503061	bird
n01604330	bird of prey, raptor, raptorial bird
n01616318	vulture
n01613294	eagle, bird of Jove
n01614925	bald eagle, American eagle, Haliaeetus leucocephalus
n01621127	owl, bird of Minerva, bird of night, hooter
n01622779	great grey owl, great gray owl, Strix nebulosa
n01605630	hawk
n01608432	kite
n01838038	piciform bird
n01843065	jacamar
n01843383	toucan
n01517565	ratite, ratite bird, flightless bird
n01518878	ostrich, Struthio camelus
n01825930	coraciiform bird
n01828970	bee eater
n01829413	hornbill
n01831712	apodiform bird
n01833805	hummingbird
n01822602	cuculiform bird
n01823013	cuckoo
n01824575	coucal
n01844917	aquatic bird
n01858441	swan
n01860187	black swan, Cygnus atratus
n02016358	gallinule, marsh hen, water hen, swamphen
n02016956	purple gallinule
n02017213	European gallinule, Porphyrio porphyrio
n02051845	pelican
n02058221	albatross, mollymawk
n01855672	goose
n01846331	duck
n01847000	drake
n01854415	merganser, fish duck, sawbill, sheldrake
n01855032	red-breasted merganser, Mergus serrator
n02006656	spoonbill
n02007558	flamingo
n02012849	crane
n02013706	limpkin, Aramus pictus
n02018795	bustard
n02008041	heron
n02009229	little blue heron, Egretta caerulea
n02011460	bittern
n02008796	egret
n02009912	American egret, great white heron, Egretta albus
n02002075	stork
n02002556	white stork, Ciconia ciconia
n02002724	black stork, Ciconia nigra
n02014941	rail
n02018027	coot
n02018207	American coot, marsh hen, mud hen, water hen, Fulica americana
n02037110	oystercatcher, oyster catcher
n02026059	sandpiper
n02027492	red-backed sandpiper, dunlin, Erolia alpina
n02028035	redshank, Tringa totanus
n02031934	snipe
n02033041	dowitcher
n02023341	plover
n02025239	ruddy turnstone, Arenaria interpres
n02055803	penguin
n02056570	king penguin, Aptenodytes patagonica
n01524359	passerine, passeriform bird
n01601694	water ouzel, dipper
n01591697	titmouse, tit
n01592084	chickadee
n01558993	robin, American robin, Turdus migratorius
n01560105	nightingale, Luscinia megarhynchos
n01560419	bulbul
n01530575	brambling, Fringilla montifringilla
n01531178	goldfinch, Carduelis carduelis
n01532829	house finch, linnet, Carpodacus mexicanus
n01534433	junco, snowbird
n01537544	indigo bunting, indigo finch, indigo bird, Passerina cyanea
n01580077	jay
n01582220	magpie
n01789386	gallinaceous bird, gallinacean
n01802721	phasianid
n01806567	quail
n01807496	partridge
n01806143	peacock
n01795088	grouse
n01795545	black grouse
n01796340	ptarmigan
n01797886	ruffed grouse, partridge, Bonasa umbellus
n01798484	prairie chicken, prairie grouse, prairie fowl
dummy0	dummy0
n01514668	cock
dummy1	dummy1
n01514859	hen
dummy6	dummy6
n01816887	parrot
n01817953	African grey, African gray, Psittacus erithacus
n01818515	macaw
n01819115	cockatoo
n01819313	sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita
n01820348	lory
n01820546	lorikeet
n01661091	reptile, reptilian
n01696633	crocodilian reptile, crocodilian
n01698434	alligator, gator
n01698640	American alligator, Alligator mississipiensis
n01697178	crocodile
n01697457	African crocodile, Nile crocodile, Crocodylus niloticus
n01674216	saurian
n01674464	lizard
n01687665	agamid, agamid lizard
n01687978	agama
n01688243	frilled lizard, Chlamydosaurus kingi
n01689411	anguid lizard
n01689811	alligator lizard
n01676755	iguanid, iguanid lizard
n01677366	common iguana, iguana, Iguana iguana
n01682714	American chameleon, anole, Anolis carolinensis
n01693783	chameleon, chamaeleon
n01694178	African chameleon, Chamaeleo chamaeleon
n01692864	lacertid lizard, lacertid
n01693334	green lizard, Lacerta viridis
n01691951	venomous lizard
n01692333	Gila monster, Heloderma suspectum
n01674990	gecko
n01675722	banded gecko
n01685439	teiid lizard, teiid
n01685808	whiptail, whiptail lizard
n01694709	monitor, monitor lizard, varan
n01695060	Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis
n01695681	archosaur, archosaurian, archosaurian reptile
n01699831	dinosaur
n01700470	ornithischian, ornithischian dinosaur
n01703569	ceratopsian, horned dinosaur
n01704323	triceratops
dummy9	serpentes
n01726692	snake, serpent, ophidian
n01751748	sea snake
n01728572	thunder snake, worm snake, Carphophis amoenus
n01728920	ringneck snake, ring-necked snake, ring snake
n01729322	hognose snake, puff adder, sand viper
n01729977	green snake, grass snake
n01734418	king snake, kingsnake
n01735189	garter snake, grass snake
n01737021	water snake
n01739381	vine snake
n01740131	night snake, Hypsiglena torquata
n01753488	horned viper, cerastes, sand viper, horned asp, Cerastes cornutus
n01747885	cobra
n01748264	Indian cobra, Naja naja
n01749582	mamba
n01749742	black mamba, Dendroaspis augusticeps
n01749939	green mamba
n01754876	rattlesnake, rattler
n01755581	diamondback, diamondback rattlesnake, Crotalus adamanteus
n01756291	sidewinder, horned rattlesnake, Crotalus cerastes
n01742172	boa constrictor, Constrictor constrictor
n01743605	python
n01744401	rock python, rock snake, Python sebae
n01662622	chelonian, chelonian reptile
n01662784	turtle
n01667114	mud turtle
n01667778	terrapin
n01669191	box turtle, box tortoise
n01663401	sea turtle, marine turtle
n01664065	loggerhead, loggerhead turtle, Caretta caretta
n01665541	leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea
n01627424	amphibian
dummy7	dummy7
n01639765	frog, toad, toad frog, anuran, batrachian, salientian
n01644373	tree frog, tree-frog
n01644900	tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui
n01640846	true frog, ranid
n01641577	bullfrog, Rana catesbeiana
dummy8	dummy8
n01629276	salamander
n01630284	newt, triton
n01630670	common newt, Triturus vulgaris
n01631663	eft
n01629819	European fire salamander, Salamandra salamandra
n01632458	spotted salamander, Ambystoma maculatum
n01632777	axolotl, mud puppy, Ambystoma mexicanum
n02512053	fish
n01480516	cartilaginous fish, chondrichthian
n01495701	ray
n01496331	electric ray, crampfish, numbfish, torpedo
n01498041	stingray
n01482330	shark
n01494475	hammerhead, hammerhead shark
n01484850	great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias
n01491361	tiger shark, Galeocerdo cuvieri
n02514825	bony fish
n02526121	eel
n01440764	tench, Tinca tinca
n01443537	goldfish, Carassius auratus
n02534734	salmon
n02536864	coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch
n02640242	sturgeon
n02641379	gar, garfish, garpike, billfish, Lepisosteus osseus
n02655020	puffer, pufferfish, blowfish, globefish
n02606384	damselfish, demoiselle
n02607072	anemone fish
n02605316	butterfly fish
n02606052	rock beauty, Holocanthus tricolor
n02642644	scorpaenid, scorpaenid fish
n02643566	lionfish
n02514041	barracouta, snoek
n00017222	plant, flora, plant life
n13083586	vascular plant, tracheophyte
n11669921	flower
n11939491	daisy
n12041446	orchid, orchidaceous plant
n12056217	lady's slipper, lady-slipper, ladies' slipper, slipper orchid
n12057211	yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum
dummy21	fungus
n12992868	fungus
n12997654	basidiomycete, basidiomycetous fungi
n12985857	coral fungus
n13040303	stinkhorn, carrion fungus
n13044778	earthstar
dummy20	mushroom
n12998815	agaric
n13054560	bolete
n13052670	hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa
dummy19	ascomycete
n13037406	gyromitra
dummy65	person
dummy66	person
n00007846	person, individual, someone, somebody, mortal, soul
n10565667	scuba diver
n09835506	ballplayer, baseball player
n10148035	groom, bridegroom
